subject,dataset,method,collected,experiment_order,total_time,pdf_time,paper_page_time,start_page_time,collecting_time,transitional_page_time,depth_mean,depth_max,collected_depth,page_impression,collection_novelty
anonyuser2,rank,ice,24,a,21.5415166667,3.6452,1.7178,15.2777,0.851283333333,0.0,1.86666666667,4,2.0,45,0.644312169312
anonyuser2,log,web,27,b,20.18195,0.0,15.95915,2.54811666667,1.72955,1.05825,3.09433962264,7,2.96153846154,53,0.738418577307
anonyuser3,rank,web,21,a,21.0392833333,0.0,16.6989833333,1.76766666667,1.77256666667,1.65681666667,4.76470588235,10,2.0,34,0.593499622071
anonyuser3,log,ice,19,b,21.2070666667,0.0,0.417633333333,20.2003333333,0.53425,0.05485,1.96551724138,4,2.125,29,0.616875522139
anonyuser4,log,ice,12,a,22.7918833333,5.11701666667,1.25363333333,16.1598833333,0.326716666667,0.0,1.48275862069,3,2.08333333333,29,0.425198412698
anonyuser4,rank,web,15,b,16.2459166667,0.0,14.2535333333,0.390783333333,0.8124,1.13486666667,4.06451612903,10,1.66666666667,31,0.540264550265
anonyuser5,log,web,18,a,21.154,0.0,19.4078666667,0.756916666667,1.34068333333,0.0,1.38095238095,2,1.58823529412,42,0.856481481481
anonyuser5,rank,ice,12,b,14.9036166667,0.117866666667,0.313166666667,14.20875,0.310583333333,0.0,2.04347826087,4,2.66666666667,23,0.780092592593
anonyuser6,rank,ice,8,a,14.0378166667,0.0,0.67095,9.86995,3.49691666667,0.0,1.76,3,2.14285714286,25,0.875
anonyuser6,log,web,7,b,21.0285,0.0,15.3097166667,2.14128333333,2.20581666667,2.26083333333,1.8,4,1.14285714286,30,0.904761904762
anonyuser7,rank,web,4,a,22.8698666667,0.0,20.3601333333,3.27561666667,0.7563,0.0,1.13636363636,2,3.0,22,0.75
anonyuser7,log,ice,10,b,22.3744166667,0.0,1.12601666667,19.7898166667,1.45858333333,0.0,1.69230769231,2,2.0,26,0.500952380952
anonyuser8,log,web,10,a,22.5047,0.0,19.1648333333,4.02196666667,1.28576666667,0.439316666667,2.30769230769,5,2.4,39,0.87
anonyuser8,rank,ice,12,b,21.9907333333,0.0,0.625816666667,20.0708333333,1.29408333333,0.0,2.28,4,2.41666666667,25,0.861904761905
anonyuser9,rank,ice,2,a,26.3375166667,0.0,0.205816666667,25.08055,0.332516666667,0.0771666666667,2.5,5,2.5,106,1.0
anonyuser9,log,web,24,b,18.9935666667,0.0,13.65275,0.443316666667,2.05495,2.88573333333,2.37837837838,7,2.04166666667,37,1.0
anonyuser10,rank,web,16,a,21.5172,0.0,17.5925,2.88941666667,1.39891666667,0.0,1.36363636364,4,1.4375,44,0.953125
anonyuser10,log,ice,18,b,28.7629333333,0.0,0.57705,23.7073333333,1.21845,0.0,4.3,9,3.72222222222,80,0.872222222222
anonyuser11,log,ice,0,a,22.22535,1.55351666667,0.0516666666667,20.3646166667,0.0845,0.0,2.34615384615,4,0,26,0
anonyuser11,rank,web,5,b,22.0443666667,5.10986666667,8.43581666667,3.29371666667,0.731266666667,0.0,2.84210526316,4,2.33333333333,38,0.68
anonyuser12,log,web,6,a,23.1609333333,0.0,20.64865,1.71846666667,1.4062,0.0,1.40909090909,3,1.33333333333,22,0.694444444444
anonyuser12,rank,ice,8,b,21.8442666667,0.0,0.227,21.13605,0.434266666667,0.0,2.69230769231,6,3.71428571429,26,0.626388888889
anonyuser13,rank,ice,8,a,21.264,0.0,1.87403333333,18.0784166667,0.663733333333,0.296133333333,1.72413793103,3,2.0,29,0.376884920635
anonyuser13,log,web,8,b,23.8218833333,0.0,15.5713833333,5.17865,0.884816666667,3.24378333333,2.2380952381,5,2.42857142857,21,0.802083333333
anonyuser14,log,ice,12,a,21.7233333333,0.114266666667,0.585433333333,19.7849333333,0.729,0.0,2.0,4,2.5,34,0.831349206349
anonyuser14,rank,web,5,b,19.2616833333,0.0866,15.9242666667,4.48661666667,0.758833333333,0.0,2.68085106383,4,2.4,47,0.68
anonyuser15,rank,web,2,a,22.9926,5.47093333333,14.3358,1.7473,0.419766666667,0.0,3.36,7,1.0,25,0.2
anonyuser15,log,ice,5,b,24.4399666667,1.34546666667,1.3958,18.5582,0.643466666667,0.0,1.78260869565,3,1.6,23,0.461904761905
